level_1,level_1_name,level_2,level_2_name,level_3,level_4,categorization,applicability
III.,EXPENSES:,(a),Housing: Monthly,1,,Mortgage/Co-op Loan,N/A
III.,EXPENSES:,(a),Housing: Monthly,2,,Home Equity Line of Credit/Second Mortgage,N/A
III.,EXPENSES:,(a),Housing: Monthly,3,,Real Estate Taxes,N/A
III.,EXPENSES:,(a),Housing: Monthly,4,,Homeowners/Renter’s Insurance,N/A
III.,EXPENSES:,(a),Housing: Monthly,5,,Homeowner’s Association/Maintenance charges/Condominium Charges,N/A
III.,EXPENSES:,(a),Housing: Monthly,6,,Rent,
III.,EXPENSES:,(a),Housing: Monthly,7,,Other,N/A
III.,EXPENSES:,(b),Utilities:  Monthly ,1,,Fuel Oil/Gas,N/A
III.,EXPENSES:,(b),Utilities:  Monthly ,2,,Electric,N/A
III.,EXPENSES:,(b),Utilities:  Monthly ,3,,Telephone (land line),N/A
III.,EXPENSES:,(b),Utilities:  Monthly ,4,,Mobile Phone,
III.,EXPENSES:,(b),Utilities:  Monthly ,5,,Cable/Satellite TV,
III.,EXPENSES:,(b),Utilities:  Monthly ,6,,Internet,
III.,EXPENSES:,(b),Utilities:  Monthly ,7,,Alarm,N/A
III.,EXPENSES:,(b),Utilities:  Monthly ,8,,Water,N/A
III.,EXPENSES:,(b),Utilities:  Monthly ,9,,Other,
III.,EXPENSES:,(c),Food: Monthly,1,,Groceries,
III.,EXPENSES:,(c),Food: Monthly,2,,Dining Out/Take Out,
III.,EXPENSES:,(c),Food: Monthly,3,,Other ,
III.,EXPENSES:,(d),Clothing:  Monthly,1,,Yourself,
III.,EXPENSES:,(d),Clothing:  Monthly,2,,Child(ren),N/A
III.,EXPENSES:,(d),Clothing:  Monthly,3,,Dry Cleaning,
III.,EXPENSES:,(d),Clothing:  Monthly,4,,Other,
III.,EXPENSES:,(e),Insurance: Monthly ,1,,Life,N/A
III.,EXPENSES:,(e),Insurance: Monthly ,2,,"Fire, theft and liability and personal articles policy",N/A
III.,EXPENSES:,(e),Insurance: Monthly ,3,,Automotive,N/A
III.,EXPENSES:,(e),Insurance: Monthly ,4,,Umbrella Policy,N/A
III.,EXPENSES:,(e),Insurance: Monthly ,5,,Medical Plan,
III.,EXPENSES:,(e),Insurance: Monthly ,5,A.,Medical Plan for yourself,
III.,EXPENSES:,(e),Insurance: Monthly ,5,B.,Medical Plan for children,N/A
III.,EXPENSES:,(e),Insurance: Monthly ,6,,Dental Plan,N/A
III.,EXPENSES:,(e),Insurance: Monthly ,7,,Optical Plan,N/A
III.,EXPENSES:,(e),Insurance: Monthly ,8,,Disability,N/A
III.,EXPENSES:,(e),Insurance: Monthly ,9,,Worker’s Compensation,N/A
III.,EXPENSES:,(e),Insurance: Monthly ,10,,Long Term Care Insurance ,N/A
III.,EXPENSES:,(e),Insurance: Monthly ,11,,Other,N/A
III.,EXPENSES:,(f),Unreimbursed Medical:  Monthly,1,,Medical,
III.,EXPENSES:,(f),Unreimbursed Medical:  Monthly,2,,Dental,
III.,EXPENSES:,(f),Unreimbursed Medical:  Monthly,3,,Optical,
III.,EXPENSES:,(f),Unreimbursed Medical:  Monthly,4,,Pharmaceutical,
III.,EXPENSES:,(f),Unreimbursed Medical:  Monthly,5,,"Surgical, Nursing, Hospital",
III.,EXPENSES:,(f),Unreimbursed Medical:  Monthly,6,,Psychotherapy,
III.,EXPENSES:,(f),Unreimbursed Medical:  Monthly,7,,Other,N/A
III.,EXPENSES:,(g),Household Maintenance:  Monthly ,1,,Repairs/Maintenance,N/A
III.,EXPENSES:,(g),Household Maintenance:  Monthly ,2,,Gardening/landscaping,N/A
III.,EXPENSES:,(g),Household Maintenance:  Monthly ,3,,Sanitation/carting,N/A
III.,EXPENSES:,(g),Household Maintenance:  Monthly ,4,,Snow Removal,N/A
III.,EXPENSES:,(g),Household Maintenance:  Monthly ,5,,Extermination,N/A
III.,EXPENSES:,(g),Household Maintenance:  Monthly ,6,,Other,N/A
III.,EXPENSES:,(h),Household Help:  Monthly ,1,,"Domestic (housekeeper, etc.)",N/A
